sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {m},rkt.dynamics._SBII[1] {m},rkt.dynamics._SBII[2] {m},rkt.dynamics._VBII[0] {m/s},rkt.dynamics._VBII[1] {m/s},rkt.dynamics._VBII[2] {m/s},rkt.dynamics.thtbdx {degree}
                   0,   120.8935051780738,   22.13878920572304,    4.93447966966778,    431.015794105879,   5145560.119900364,  -2915633.863892941,   2380027.684022496,   212.6040857417283,    374.931998840837, -0.3372534060976851,   89.99987220460068
                 0.1,   120.8935051784371,   22.13878920572899,   4.940762643702328,   431.0159207931748,   5145581.385245856,  -2915596.373474173,   2380027.652655932,   212.8273458110196,   374.8055376007898, -0.2320258776510407,    89.9998724643912
                 0.2,   120.8935051783897,   22.13878920572271,   4.999082219786942,   431.0168980760689,    5145602.69228211,  -2915558.906671693,     2380027.6408284,   213.3183429522071,   374.5275036397354,-0.002151507131063299,   89.99981914502551
                 0.3,   120.8935051788649,   22.13878920570185,   5.118672871030867,   431.0187306479839,   5145624.048456899,  -2915521.467702646,   2380027.652007218,   213.8101862935494,   374.2489791178105,  0.2281135543517271,   89.99951349508376
                 0.4,   120.8935051789136,   22.13878920566321,   5.299639960750937,   431.0213754884672,   5145645.453854316,  -2915484.056616979,   2380027.686231627,   214.3028542027834,   373.9699217064656,  0.4587672294045913,   89.99902959845488
                 0.5,   120.8935051794071,   22.13878920560373,   5.542088975198567,   431.0248352891917,   5145666.908557964,  -2915446.673465723,   2380027.743540921,   214.7963457588926,   373.6903298766372,  0.6898125767973019,   89.99846973297524
                 0.6,   120.8935051793902,   22.13878920552179,   5.846125514246523,   431.0291287925857,   5145688.412651584,  -2915409.318299747,   2380027.823974592,   215.2906677240234,   373.4102161845913,  0.9212532856860808,   89.99790226876891
                 0.7,   120.8935051797455,   22.13878920541724,   6.211855285800993,   431.0342773074445,   5145709.966219299,  -2915371.991169337,   2380027.927572319,   215.7858284789415,   373.1295952084067,    1.15309202510932,   89.99736603095057
                 0.8,   120.8935051795264,   22.13878920529094,   6.639384103007615,   431.0402990009979,   5145731.569345632,  -2915334.692124185,   2380028.054373925,   216.2818352413906,   372.8484785637554,   1.385330349962388,   89.99687566448102
                 0.9,   120.8935051796296,   22.13878920514445,   7.128817887976766,   431.0472073120515,   5145753.222115452,  -2915297.421213509,   2380028.204419343,   216.7786931436959,   372.5668736031581,   1.617969096884953,   89.99642988039066
                   1,   120.8935051791223,      22.13878920498,   7.680262681096792,   431.0550116261009,   5145774.924613909,  -2915260.178486209,   2380028.377748622,    217.276405342041,   372.2847841306872,   1.851009018549029,   89.99601987666348
                 1.1,   120.8935051789042,   22.13878920480023,    8.29382462054491,   431.0637188252349,   5145796.676926373,  -2915222.963990939,    2380028.57440189,   217.7749738057055,   372.0022117361576,   2.084450712387065,   89.99563614532053
